,precision,recall,f1-score,support
blues,0.76812,0.66458,0.71261,319.00000
classical,0.89308,0.92208,0.90735,308.00000
country,0.65714,0.71626,0.68543,289.00000
disco,0.58757,0.69103,0.63511,301.00000
hiphop,0.75824,0.66774,0.71012,310.00000
jazz,0.76871,0.79859,0.78336,283.00000
metal,0.83612,0.82508,0.83056,303.00000
pop,0.79371,0.84701,0.81949,268.00000
reggae,0.70476,0.70476,0.70476,315.00000
rock,0.58052,0.51495,0.54577,301.00000
accuracy,,,0.73340,2997.00000
macro avg,0.73480,0.73521,0.73346,2997.00000
weighted avg,0.73482,0.73340,0.73254,2997.00000
