,precision,recall,f1-score,support
blues,0.87037,0.73668,0.79796,319.00000
classical,0.90184,0.95455,0.92744,308.00000
country,0.63354,0.70588,0.66776,289.00000
disco,0.70181,0.77409,0.73618,301.00000
hiphop,0.89925,0.77742,0.83391,310.00000
jazz,0.79070,0.84099,0.81507,283.00000
metal,0.80294,0.90099,0.84914,303.00000
pop,0.84615,0.86194,0.85397,268.00000
reggae,0.74148,0.82857,0.78261,315.00000
rock,0.72770,0.51495,0.60311,301.00000
accuracy,,,0.78912,2997.00000
macro avg,0.79158,0.78961,0.78672,2997.00000
weighted avg,0.79244,0.78912,0.78684,2997.00000
